"id","period","Y","G","X",".w",".rowid"
"1",1,2,3.52706083370077,3,-0.0063653384374076,1,1
"2",4,2,3.18348236015383,2,0.219881211219384,1,2
"3",5,1,2.4143379089423,2,-0.603610169278085,1,3
"4",6,2,3.07263811021609,4,0.242704023833121,1,4
"5",8,2,5.9887180402703,2,0.44896766711114,1,5
"6",9,4,0.352468762429369,2,-0.970952675685536,1,6
"7",11,3,7.11890439992639,2,0.589004064898006,1,7
"8",12,3,10.0751754613135,4,1.47504887476579,1,8
"9",14,2,-2.56090226828408,4,-2.10297001111236,1,9
"10",16,3,4.71812912047686,3,-0.14800717951136,1,10
"11",17,3,4.27239995168162,4,0.280065863953843,1,11
"12",18,3,5.33588702090762,3,-0.112586681588863,1,12
"13",20,1,1.42623615494695,3,-0.134774896624679,1,13
"14",21,4,-1.7786575495065,2,-1.40030101015978,1,14
"15",23,3,10.2328791361712,2,1.10908692286631,1,15
"16",24,4,9.89505356576743,4,0.69765423143635,1,16
"17",26,1,5.88242077745991,4,1.11566579079511,1,17
"18",27,4,6.1347652258747,3,0.208915934606643,1,18
"19",28,3,8.52164393915122,3,0.835285248241042,1,19
"20",29,4,4.59965697663023,2,-0.859431618592349,1,20
"21",32,1,2.4857858156771,3,0.178526501664254,1,21
"22",33,2,7.13209677786746,3,0.31619537328697,1,22
"23",34,1,1.92995610645143,2,-0.252754149268729,1,23
"24",36,1,-0.97052247492837,4,-0.798613646389581,1,24
"25",37,2,5.13224240256303,2,-0.385470695480831,1,25
"26",38,3,12.7460616263803,4,1.78473478636662,1,26
"27",39,3,3.52680002757588,3,-0.757670571302755,1,27
"28",40,4,2.36694530557744,2,-1.18466792285704,1,28
"29",42,2,3.99998472971418,2,-0.355251671322177,1,29
"30",43,4,2.78944884613982,2,-0.818802012123458,1,30
"31",45,3,5.70508764845733,3,-0.23463243686923,1,31
"32",48,1,5.04893982826974,3,1.15921802519533,1,32
"33",49,3,3.3056994849621,4,-1.39796737145385,1,33
"34",52,1,6.17807843724509,2,-0.348541102542204,1,34
"35",53,1,3.55453637592788,2,-0.352238068455141,1,35
"36",54,4,9.4895351827126,3,0.289442444174426,1,36
"37",55,2,6.97086744913371,4,2.68015548900187,1,37
"38",56,4,-0.971423906103105,3,-1.37158192417403,1,38
"39",57,3,2.45689153486019,3,-0.712958380124848,1,39
"40",58,4,9.09654126973625,3,0.730302385275776,1,40
"41",60,1,2.43611139447679,3,-0.343363350087936,1,41
"42",61,4,7.67246758352184,2,0.845503420964472,1,42
"43",62,2,4.29349325029924,3,0.456305922862104,1,43
"44",63,1,3.75345897461285,3,0.171427026465375,1,44
"45",65,2,3.43516172747346,4,0.785331261977939,1,45
"46",66,1,2.46143576777078,2,0.129817657552484,1,46
"47",67,1,2.76381754482782,2,1.9947886595934,1,47
"48",68,4,7.75714329015708,2,0.694591828758618,1,48
"49",70,1,3.74905579876167,4,-0.448803502802225,1,49
"50",72,2,5.49982348783898,4,1.20924121592114,1,50
"51",75,1,8.41619289250516,4,2.08562740545602,1,51
