I,T,y,cohort,event_size
0,1985-01-01,0.0419873077158981,,
0,1986-01-01,-0.1340229189615521,,
0,1987-01-01,-0.0967826865886122,,
0,1988-01-01,0.0694450727133636,,
0,1989-01-01,0.0449164292220221,1989-01-01,0.0609511167832788
0,1990-01-01,0.1181094236208363,,
0,1991-01-01,-0.0137712300565039,1991-01-01,0.5311899715053465
0,1992-01-01,0.8792300110649924,,
0,1993-01-01,0.6524850192421557,,
0,1994-01-01,0.6520883386892137,,
1,1985-01-01,0.1053937315710113,,
1,1986-01-01,0.1780681822002436,,
1,1987-01-01,0.0780237958517283,,
1,1988-01-01,0.0413265536726566,,
1,1989-01-01,0.0332717185010897,1989-01-01,0.0609511167832788
1,1990-01-01,0.3292013271855922,,
1,1991-01-01,-0.0455654359243021,,
1,1992-01-01,0.2293946896491685,1992-01-01,0.1123024844906145
1,1993-01-01,0.3029523701634774,1993-01-01,0.7157626295603902
1,1994-01-01,0.901340890921676,,
2,1988-01-01,0.0051297610514304,,
2,1989-01-01,0.0459860063357812,,
2,1990-01-01,0.1210458032303795,,
2,1991-01-01,0.0291447797777832,,
2,1992-01-01,0.1236364311640834,,
2,1993-01-01,0.0030930857740516,,
2,1994-01-01,0.0355122456162268,,
2,1995-01-01,0.108490348890567,,
3,1990-01-01,-0.1665404683001302,,
3,1991-01-01,-0.2097070816798714,,
3,1992-01-01,-0.026180131661229,,
3,1993-01-01,-0.1780976712679914,,
3,1994-01-01,-0.1747569973636633,,
3,1995-01-01,-0.1081008221511291,,
3,1996-01-01,-0.0143202451582703,,
3,1997-01-01,0.3077629400742291,,
3,1998-01-01,0.0650174737618448,,
3,1999-01-01,0.4374106002370222,,
3,2000-01-01,-0.12786637632463,,
3,2001-01-01,-0.4327621950210455,,
3,2002-01-01,-0.0115485235815909,,
3,2003-01-01,0.0363957247302436,,
4,1988-01-01,0.1784383947455187,,
4,1989-01-01,0.1567193588462418,,
4,1990-01-01,0.3955869694739716,,
4,1991-01-01,0.2500501409709186,,
4,1992-01-01,0.4029773560785892,,
4,1993-01-01,0.3050976487194887,,
4,1994-01-01,0.1918643496233045,,
4,1995-01-01,0.0175879452294929,,
4,1996-01-01,0.3267037124267089,,
4,1997-01-01,0.5303187668655928,,
4,1998-01-01,0.2593756122597584,,
4,1999-01-01,0.343647647601825,,
4,2000-01-01,0.0369304883543057,,
4,2001-01-01,0.1505890262842435,,
4,2002-01-01,0.1916791453218572,,
5,1986-01-01,0.0196195085343174,,
5,1987-01-01,0.086133742090484,,
5,1988-01-01,0.0368782564067494,,
5,1989-01-01,-0.0879423665425244,,
5,1990-01-01,0.2000181618624995,,
5,1991-01-01,0.0271656502212586,,
5,1992-01-01,0.2995058329008073,,
5,1993-01-01,0.0583503810258901,,
5,1994-01-01,0.0631725683327055,,
5,1995-01-01,-0.0739835343240122,,
6,1985-01-01,-0.0746538178215462,,
6,1986-01-01,0.0080542873506129,,
6,1987-01-01,-0.1831653333957202,,
6,1988-01-01,-0.1584273043785592,,
6,1989-01-01,-0.3366253540295069,,
7,1990-01-01,-0.1862557393638136,,
7,1991-01-01,-0.0006199481141103,,
7,1992-01-01,-0.1272378863588088,,
7,1993-01-01,0.1610350175837567,,
7,1994-01-01,-0.1641331561558861,1994-01-01,0.852759320424832
7,1995-01-01,0.5715101682335901,,
7,1996-01-01,0.8328030498265506,,
7,1997-01-01,1.0584965318820032,,
7,1998-01-01,0.805998898672094,1998-01-01,0.5149113034230458
8,1987-01-01,-0.1639807887074721,,
8,1988-01-01,-0.1188404515124689,,
8,1989-01-01,-0.1419085349514908,,
8,1990-01-01,-0.0359466713163563,,
8,1991-01-01,-0.1980698300422779,,
8,1992-01-01,-0.0295024786752702,,
8,1993-01-01,-0.120206380833631,,
8,1994-01-01,0.0334014932201678,,
8,1995-01-01,-0.1882128502126545,,
9,1985-01-01,-0.1511585524688909,,
9,1986-01-01,-0.0532958518107992,1986-01-01,0.2207021251621819
9,1987-01-01,-0.1241668693528466,,
9,1988-01-01,-0.1747299925667241,1988-01-01,0.4923322202487084
9,1989-01-01,0.5114893302109833,,
9,1990-01-01,0.4528996275204754,,
9,1991-01-01,0.5707409318417019,,
9,1992-01-01,0.5975659061618165,,
9,1993-01-01,0.4551976948836195,,
9,1994-01-01,0.5853117348276858,,
9,1995-01-01,0.3897867278571953,,
9,1996-01-01,0.7031568231334032,,
10,1986-01-01,0.0274572216805519,,
10,1987-01-01,0.1353716120422384,,
10,1988-01-01,-0.0518391944789983,,
10,1989-01-01,0.0989979991748547,,
10,1990-01-01,0.1737557699216663,,
10,1991-01-01,-0.0251095679883556,,
10,1992-01-01,0.1755550438281094,,
10,1993-01-01,0.1692302107200915,,
10,1994-01-01,0.2555422455079658,,
10,1995-01-01,-0.2879707373484596,,
11,1986-01-01,0.031765458795007,,
11,1987-01-01,-0.0711107646979789,,
11,1988-01-01,-0.1294960576853392,,
11,1989-01-01,-0.1674037439959355,,
11,1990-01-01,-0.0111294927940396,,
11,1991-01-01,-0.2182225972917752,,
11,1992-01-01,0.0773707545768404,,
11,1993-01-01,0.0784723482236713,,
11,1994-01-01,-0.1038861955073907,,
11,1995-01-01,-0.1906784168019871,,
11,1996-01-01,0.2078411432082344,,
12,1990-01-01,-0.0830514166321212,,
12,1991-01-01,0.012973751984679,,
12,1992-01-01,0.018739917465064,,
12,1993-01-01,0.0184460233181763,,
12,1994-01-01,-0.0230904089818962,,
12,1995-01-01,-0.1596139382952209,,
12,1996-01-01,-0.1224845540276335,,
12,1997-01-01,0.108627452023582,,
12,1998-01-01,0.1529762378897912,,
12,1999-01-01,0.1713843565939083,,
12,2000-01-01,-0.2025354865942304,,
12,2001-01-01,-0.1175169369403151,,
12,2002-01-01,0.0529132696157083,,
12,2003-01-01,0.1451417716242698,,
12,2004-01-01,0.0435850686490439,,
13,1987-01-01,-0.0622490056342018,,
13,1988-01-01,0.0014946585690527,,
13,1989-01-01,-0.0931694191044539,,
13,1990-01-01,-0.0985131137821928,,
13,1991-01-01,0.0083863745538639,,
14,1985-01-01,-0.1521274829646018,,
14,1986-01-01,-0.2106842215455232,,
14,1987-01-01,-0.1962402671928381,,
14,1988-01-01,-0.138070826144766,1988-01-01,0.4923322202487084
14,1989-01-01,0.3230632560208553,,
14,1990-01-01,0.3245734660887477,,
14,1991-01-01,0.3211827806027882,,
14,1992-01-01,0.3921204256479597,,
14,1993-01-01,0.3141100699415896,,
14,1994-01-01,0.3948195751711565,,
15,1986-01-01,-0.0512496965700251,,
15,1987-01-01,-0.2971731416223352,,
15,1988-01-01,0.0414989596122265,,
15,1989-01-01,-0.1042219905484391,,
15,1990-01-01,-0.0434336440872598,,
15,1991-01-01,-0.138373456923804,,
15,1992-01-01,0.0648557532598097,,
15,1993-01-01,-0.2067733592502763,,
15,1994-01-01,-0.0123697439844511,,
15,1995-01-01,-0.2866787754402727,,
15,1996-01-01,-0.0129619773179069,,
15,1997-01-01,0.0582766271301426,,
15,1998-01-01,-0.1623808421069673,,
15,1999-01-01,0.1370772099400417,,
15,2000-01-01,-0.1459547866527856,,
16,1989-01-01,-0.1808127254298086,,
16,1990-01-01,-0.0867863994404596,,
16,1991-01-01,-0.1175086787236265,,
16,1992-01-01,0.045508297411409,,
16,1993-01-01,0.0136242204026466,,
16,1994-01-01,-0.1268786402820567,,
16,1995-01-01,-0.0755401500912375,,
16,1996-01-01,0.2788273519767414,,
16,1997-01-01,-0.0291857966044777,,
16,1998-01-01,-0.0445595395513966,,
16,1999-01-01,0.1683760900600629,,
17,1986-01-01,-0.0383152374188925,,
17,1987-01-01,-0.071791673044282,,
17,1988-01-01,-0.2314430834131869,,
17,1989-01-01,-0.0439219334038961,,
17,1990-01-01,-0.1516849496175586,,
17,1991-01-01,-0.0948730430199692,,
17,1992-01-01,-0.0566375936291023,,
17,1993-01-01,-0.3099853483346844,,
17,1994-01-01,0.0226916183680263,,
18,1987-01-01,-0.0117186504066414,,
18,1988-01-01,0.2298344943654142,,
18,1989-01-01,0.0288892243863612,,
18,1990-01-01,0.3050098849032757,,
18,1991-01-01,-0.0417398942524136,,
18,1992-01-01,0.1291884231407253,,
18,1993-01-01,0.1532291528770727,,
19,1988-01-01,-0.2732293782996992,,
19,1989-01-01,-0.2837815259921926,,
19,1990-01-01,-0.1445542769850705,,
19,1991-01-01,-0.3435283530946001,,
19,1992-01-01,-0.0718084634131122,,
19,1993-01-01,-0.0877305187708912,,
20,1985-01-01,0.1735318178514226,,
20,1986-01-01,-0.0637135938470211,,
20,1987-01-01,0.1462512867920552,,
20,1988-01-01,-0.0328364681314282,,
20,1989-01-01,0.2062678374292115,,
20,1990-01-01,0.0102367394878002,1990-01-01,0.8732573837108304
20,1991-01-01,1.0175525206420093,,
20,1992-01-01,1.0157310137872717,1992-01-01,0.1123024844906145
20,1993-01-01,0.8427761414123636,,
20,1994-01-01,0.9722475757340568,,
20,1995-01-01,0.9060848610832606,,
20,1996-01-01,1.0957139947200156,1996-01-01,0.1984391179309164
21,1985-01-01,-0.0628033171912244,,
21,1986-01-01,-0.1190722365278743,1986-01-01,0.2207021251621819
21,1987-01-01,0.0366006189668369,,
21,1988-01-01,0.2665911324263739,,
21,1989-01-01,0.179111180724282,,
21,1990-01-01,0.2812208919005508,,
21,1991-01-01,0.1423687070663006,,
21,1992-01-01,0.308899263071236,1992-01-01,0.1123024844906145
21,1993-01-01,0.1497970421385457,,
21,1994-01-01,0.2932905876640276,,
21,1995-01-01,0.3426334855644948,1995-01-01,0.7681242080228688
21,1996-01-01,1.161094798268386,,
21,1997-01-01,1.3870172761456707,,
21,1998-01-01,1.197263583991618,,
21,1999-01-01,1.3603843587856932,,
22,1987-01-01,-0.3069022023875004,,
22,1988-01-01,-0.2506396981847641,,
22,1989-01-01,-0.3029711693702225,,
22,1990-01-01,-0.1703747540966065,1990-01-01,0.8732573837108304
22,1991-01-01,0.7064023496914297,1991-01-01,0.5311899715053465
23,1990-01-01,0.1475337814353516,,
23,1991-01-01,-0.1874821275744373,,
23,1992-01-01,0.0298786441621689,,
23,1993-01-01,0.2193948680820363,,
23,1994-01-01,-0.1042969537173025,,
23,1995-01-01,-0.1783675088154823,,
23,1996-01-01,0.2156830644206387,,
23,1997-01-01,0.2058420762565397,,
23,1998-01-01,0.1630619997337099,,
23,1999-01-01,0.3219307653281213,,
23,2000-01-01,0.0985945730053252,,
23,2001-01-01,-0.0854138887703633,,
23,2002-01-01,0.3124639919378175,,
24,1990-01-01,0.106638142479667,,
24,1991-01-01,-0.1515047256838889,1991-01-01,0.5311899715053465
24,1992-01-01,0.5498780468056182,1992-01-01,0.1123024844906145
24,1993-01-01,0.944711460484472,1993-01-01,0.7157626295603902
24,1994-01-01,1.319091182349743,,
24,1995-01-01,1.353817372208589,,
24,1996-01-01,1.622747775936482,,
24,1997-01-01,1.679585389319823,,
24,1998-01-01,1.3904159759012429,,
